GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImplInitializer,162,0,2,0,25,0,7,0,6,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImpl,2644,0,156,0,573,0,107,0,29,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseTableConfiguration,331,0,26,0,65,0,25,0,12,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImpl.new Callable() {...},18,0,0,0,2,0,2,0,2,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImpl.new ValueStoreMarshaller() {...},27,0,0,0,3,0,2,0,2,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImpl.new ValueStoreMarshaller() {...},13,0,0,0,2,0,2,0,2,0
row-column-value-store-hbase,com.jivesoftware.os.rcvs.hbase,HBaseSetOfSortedMapsImpl.new ValueStoreMarshaller() {...},13,0,0,0,2,0,2,0,2,0
